Unnamed: 0,source_text,plagiarized_text,label,text_join
22,Photosynthesis occurs in the chloroplasts of plant cells.,Plant cells' chloroplasts are where photosynthesis takes place.,1,photosynthesis occurs chloroplast plant cell plant cell chloroplast photosynthesis take place
23,Mount Everest is the highest mountain in the world.,The world's highest mountain is Mount Everest.,1,mount everest highest mountain world world highest mountain mount everest
24,Leonardo da Vinci painted the Mona Lisa.,The Mona Lisa was painted by Leonardo da Vinci.,1,leonardo da vinci painted mona lisa mona lisa painted leonardo da vinci
25,The Amazon River is the longest river in South America.,South America's longest river is the Amazon River.,1,amazon river longest river south america south america longest river amazon river
26,Albert Einstein developed the theory of relativity.,The theory of relativity was developed by Albert Einstein.,1,albert einstein developed theory relativity theory relativity developed albert einstein
27,The Pyramids of Giza are located in Egypt.,Egypt is home to the Pyramids of Giza.,1,pyramid giza located egypt egypt home pyramid giza
28,The chemical symbol for gold is Au.,Au is the chemical symbol for gold.,1,chemical symbol gold au au chemical symbol gold
29,Mars is often called the Red Planet.,The Red Planet is a common name for Mars.,1,mar often called red planet red planet common name mar
30,The Great Barrier Reef is located off the coast of Australia.,Off Australia's coast lies the Great Barrier Reef.,1,great barrier reef located coast australia australia coast lie great barrier reef
31,Venus is the second planet from the Sun.,The Sun's second planet is Venus.,1,venus second planet sun sun second planet venus
32,Beethoven was a famous composer and pianist.,A renowned composer and pianist was Beethoven.,1,beethoven famous composer pianist renowned composer pianist beethoven
33,Hydrogen is the lightest element on the periodic table.,The lightest element on the periodic table is hydrogen.,1,hydrogen lightest element periodic table lightest element periodic table hydrogen
34,"The speed of light in a vacuum is approximately 299,792 kilometers per second.","In a vacuum, light travels at about 299,792 kilometers per second.",1,speed light vacuum approximately 299792 kilometer per second vacuum light travel 299792 kilometer per second
35,Alexander Graham Bell is credited with inventing the telephone.,The invention of the telephone is credited to Alexander Graham Bell.,1,alexander graham bell credited inventing telephone invention telephone credited alexander graham bell
36,Antarctica is the coldest continent on Earth.,Earth's coldest continent is Antarctica.,1,antarctica coldest continent earth earth coldest continent antarctica
37,"The Taj Mahal is located in Agra, India.","Agra, India is where the Taj Mahal is located.",1,taj mahal located agra india agra india taj mahal located
38,Mitochondria are known as the powerhouse of the cell.,The powerhouse of the cell is known as mitochondria.,1,mitochondrion known powerhouse cell powerhouse cell known mitochondrion
39,The Nile River flows through northeastern Africa.,Northeastern Africa is traversed by the Nile River.,1,nile river flow northeastern africa northeastern africa traversed nile river
40,Thomas Edison invented the electric light bulb.,The electric light bulb was invented by Thomas Edison.,1,thomas edison invented electric light bulb electric light bulb invented thomas edison
41,The Pacific Ocean covers more area than any other ocean.,No ocean covers more area than the Pacific Ocean.,1,pacific ocean cover area ocean ocean cover area pacific ocean
42,Honey never spoils and can last for thousands of years.,Honey can last for thousands of years without spoiling.,1,honey never spoil last thousand year honey last thousand year without spoiling
43,Neil Armstrong was the first person to walk on the Moon.,The first person to walk on the Moon was Neil Armstrong.,1,neil armstrong first person walk moon first person walk moon neil armstrong
44,Julius Caesar was a key figure in the rise of the Roman Empire.,The rise of the Roman Empire saw Julius Caesar as a key figure.,1,julius caesar key figure rise roman empire rise roman empire saw julius caesar key figure
45,Oxygen is essential for human respiration.,Human respiration requires oxygen.,1,oxygen essential human respiration human respiration requires oxygen
46,"The Eiffel Tower is a famous landmark in Paris, France.","Paris, France is known for the Eiffel Tower.",1,eiffel tower famous landmark paris france paris france known eiffel tower
47,Saturn is known for its prominent ring system.,The ring system of Saturn is prominent.,1,saturn known prominent ring system ring system saturn prominent
48,Marie Curie won Nobel Prizes in both Physics and Chemistry.,Nobel Prizes in both Physics and Chemistry were awarded to Marie Curie.,1,marie curie nobel prize physic chemistry nobel prize physic chemistry awarded marie curie
49,The Chernobyl disaster occurred in 1986.,1986 was the year of the Chernobyl disaster.,1,chernobyl disaster occurred 1986 1986 year chernobyl disaster
50,Honey bees communicate through a series of dance movements.,A series of dance movements is how honey bees communicate.,1,honey bee communicate series dance movement series dance movement honey bee communicate
51,The Rosetta Stone helped decipher Egyptian hieroglyphs.,Egyptian hieroglyphs were deciphered with the help of the Rosetta Stone.,1,rosetta stone helped decipher egyptian hieroglyph egyptian hieroglyph deciphered help rosetta stone
52,Dolphins are highly intelligent marine mammals.,Marine mammals known for their high intelligence are dolphins.,1,dolphin highly intelligent marine mammal marine mammal known high intelligence dolphin
53,Mercury is the closest planet to the Sun.,The Sun's nearest planet is Mercury.,1,mercury closest planet sun sun nearest planet mercury
54,The human heart pumps blood throughout the body.,Blood is pumped throughout the body by the human heart.,1,human heart pump blood throughout body blood pumped throughout body human heart
55,Tsunamis are caused by underwater earthquakes or volcanic eruptions.,Underwater earthquakes or volcanic eruptions cause tsunamis.,1,tsunami caused underwater earthquake volcanic eruption underwater earthquake volcanic eruption cause tsunami
56,"The Grand Canyon is located in the state of Arizona, USA.","Arizona, USA is home to the Grand Canyon.",1,grand canyon located state arizona usa arizona usa home grand canyon
57,Isaac Newton formulated the laws of motion and universal gravitation.,The laws of motion and universal gravitation were formulated by Isaac Newton.,1,isaac newton formulated law motion universal gravitation law motion universal gravitation formulated isaac newton
58,The Blue Whale is the largest animal on Earth.,Earth's largest animal is the Blue Whale.,1,blue whale largest animal earth earth largest animal blue whale
59,Lightning is a sudden electrostatic discharge during a storm.,A storm's sudden electrostatic discharge is lightning.,1,lightning sudden electrostatic discharge storm storm sudden electrostatic discharge lightning
60,Charles Darwin proposed the theory of natural selection.,The theory of natural selection was proposed by Charles Darwin.,1,charles darwin proposed theory natural selection theory natural selection proposed charles darwin
61,"The Golden Gate Bridge is located in San Francisco, California.","San Francisco, California is where the Golden Gate Bridge is located.",1,golden gate bridge located san francisco california san francisco california golden gate bridge located
62,Photosynthesis converts carbon dioxide and water into glucose and oxygen.,Carbon dioxide and water are converted into glucose and oxygen through photosynthesis.,1,photosynthesis convert carbon dioxide water glucose oxygen carbon dioxide water converted glucose oxygen photosynthesis
63,The Dead Sea is one of the saltiest bodies of water in the world.,One of the world's saltiest bodies of water is the Dead Sea.,1,dead sea one saltiest body water world one world saltiest body water dead sea
64,Albert Einstein's equation E=mc² relates energy to mass.,The relation between energy and mass is given by Albert Einstein's equation E=mc².,1,albert einstein equation emc² relates energy mass relation energy mass given albert einstein equation emc²
65,The Amazon Rainforest is often called the 'lungs of the Earth'.,The 'lungs of the Earth' is a common nickname for the Amazon Rainforest.,1,amazon rainforest often called lung earth lung earth common nickname amazon rainforest
66,Venus rotates in the opposite direction to most planets in the solar system.,Most planets in the solar system rotate in the opposite direction to Venus.,1,venus rotates opposite direction planet solar system planet solar system rotate opposite direction venus
67,The Leaning Tower of Pisa is famous for its unintended tilt.,The unintended tilt of the Leaning Tower of Pisa makes it famous.,1,leaning tower pisa famous unintended tilt unintended tilt leaning tower pisa make famous
68,Jupiter has the shortest day of all the planets in the solar system.,The shortest day of all the planets in the solar system is on Jupiter.,1,jupiter shortest day planet solar system shortest day planet solar system jupiter
69,Florence Nightingale is considered the founder of modern nursing.,The founder of modern nursing is considered to be Florence Nightingale.,1,florence nightingale considered founder modern nursing founder modern nursing considered florence nightingale
70,"Hurricanes are large, powerful storms that form over warm ocean waters.","Warm ocean waters give rise to large, powerful storms known as hurricanes.",1,hurricane large powerful storm form warm ocean water warm ocean water give rise large powerful storm known hurricane
71,The Colosseum in Rome is an ancient amphitheater.,Rome's ancient amphitheater is the Colosseum.,1,colosseum rome ancient amphitheater rome ancient amphitheater colosseum
72,Honey bees are vital for pollination of many crops.,Pollination of many crops is crucially carried out by honey bees.,1,honey bee vital pollination many crop pollination many crop crucially carried honey bee
73,The Mona Lisa is displayed in the Louvre Museum in Paris.,The Louvre Museum in Paris displays the Mona Lisa.,1,mona lisa displayed louvre museum paris louvre museum paris display mona lisa
74,The Earth's atmosphere is composed primarily of nitrogen and oxygen.,Nitrogen and oxygen primarily make up the Earth's atmosphere.,1,earth atmosphere composed primarily nitrogen oxygen nitrogen oxygen primarily make earth atmosphere
75,"The Great Wall of China stretches over 13,000 miles.","Over 13,000 miles long is the Great Wall of China.",1,great wall china stretch 13000 mile 13000 mile long great wall china
76,Neil Armstrong was the first person to set foot on the moon.,The first person to set foot on the moon was Neil Armstrong.,1,neil armstrong first person set foot moon first person set foot moon neil armstrong
77,Water freezes at 0 degrees Celsius.,0 degrees Celsius is the freezing point of water.,1,water freeze 0 degree celsius 0 degree celsius freezing point water
78,The Leaning Tower of Pisa is known for its unintended tilt.,The unintended tilt of the Leaning Tower of Pisa is well-known.,1,leaning tower pisa known unintended tilt unintended tilt leaning tower pisa wellknown
79,Electric cars produce no emissions during operation.,"During operation, electric cars produce no emissions.",1,electric car produce emission operation operation electric car produce emission
80,Bees produce honey from the nectar of flowers.,Honey is produced by bees from the nectar of flowers.,1,bee produce honey nectar flower honey produced bee nectar flower
81,The Sun is the center of our solar system.,Our solar system's center is the Sun.,1,sun center solar system solar system center sun
83,Mount Kilimanjaro is the highest mountain in Africa.,Africa's highest mountain is Mount Kilimanjaro.,1,mount kilimanjaro highest mountain africa africa highest mountain mount kilimanjaro
84,The Eiffel Tower is one of the most recognizable structures in the world.,One of the world's most recognizable structures is the Eiffel Tower.,1,eiffel tower one recognizable structure world one world recognizable structure eiffel tower
85,Julius Caesar was assassinated in 44 BC.,"In 44 BC, Julius Caesar was assassinated.",1,julius caesar assassinated 44 bc 44 bc julius caesar assassinated
86,The Pacific Ocean is the largest and deepest ocean on Earth.,Earth's largest and deepest ocean is the Pacific Ocean.,1,pacific ocean largest deepest ocean earth earth largest deepest ocean pacific ocean
87,Venus is the hottest planet in our solar system.,The hottest planet in our solar system is Venus.,1,venus hottest planet solar system hottest planet solar system venus
88,Shakespeare wrote 'Romeo and Juliet'.,'Romeo and Juliet' was written by Shakespeare.,1,shakespeare wrote romeo juliet romeo juliet written shakespeare
91,Elephants are the largest land animals on Earth.,The largest land animals on Earth are elephants.,1,elephant largest land animal earth largest land animal earth elephant
93,DNA stands for deoxyribonucleic acid.,Deoxyribonucleic acid is abbreviated as DNA.,1,dna stand deoxyribonucleic acid deoxyribonucleic acid abbreviated dna
104,The Sahara Desert is the largest hot desert in the world.,The world's largest hot desert is the Sahara Desert.,1,sahara desert largest hot desert world world largest hot desert sahara desert
107,The Great Wall of China is visible from space.,"From space, the Great Wall of China is visible.",1,great wall china visible space space great wall china visible
110,The Amazon Rainforest is the largest tropical rainforest in the world.,The world's largest tropical rainforest is the Amazon Rainforest.,1,amazon rainforest largest tropical rainforest world world largest tropical rainforest amazon rainforest
120,Lightning is a natural phenomenon.,A natural phenomenon is lightning.,0,lightning natural phenomenon natural phenomenon lightning
121,Python is used for web development.,Web development uses Python.,0,python used web development web development us python
122,Bananas are rich in potassium.,Potassium is rich in bananas.,0,banana rich potassium potassium rich banana
123,The sky is blue.,Blue is the sky.,0,sky blue blue sky
124,JavaScript is popular for front-end development.,Front-end development is popular for JavaScript.,0,javascript popular frontend development frontend development popular javascript
125,Dogs are known as man's best friend.,Man's best friend is known as dogs.,0,dog known man best friend man best friend known dog
126,The sun rises in the east.,"In the east, the sun rises.",0,sun rise east east sun rise
127,Books are a source of knowledge.,A source of knowledge are books.,0,book source knowledge source knowledge book
128,Cars need fuel to run.,"To run, cars need fuel.",0,car need fuel run run car need fuel
129,Water boils at 100 degrees Celsius.,"At 100 degrees Celsius, water boils.",0,water boil 100 degree celsius 100 degree celsius water boil
130,Chocolate is made from cocoa beans.,Cocoa beans make chocolate.,0,chocolate made cocoa bean cocoa bean make chocolate
131,Birds can fly.,Flying is a capability of birds.,0,bird fly flying capability bird
132,Coffee contains caffeine.,Caffeine is contained in coffee.,0,coffee contains caffeine caffeine contained coffee
133,The Earth is round.,Round is the Earth.,0,earth round round earth
134,Apples are a type of fruit.,A type of fruit is apples.,0,apple type fruit type fruit apple
135,The color of grass is green.,Green is the color of grass.,0,color grass green green color grass
136,Rain falls from clouds.,"From clouds, rain falls.",0,rain fall cloud cloud rain fall
137,Elephants are large animals.,Large animals are elephants.,0,elephant large animal large animal elephant
138,Fire produces heat.,Heat is produced by fire.,0,fire produce heat heat produced fire
139,Music can be soothing.,Soothing can be music.,0,music soothing soothing music
140,The Moon affects tides.,Tides are affected by the Moon.,0,moon affect tide tide affected moon
141,Cats are often kept as pets.,Pets are often kept as cats.,0,cat often kept pet pet often kept cat
142,Bread is made from flour.,Flour makes bread.,0,bread made flour flour make bread
143,Flowers bloom in spring.,"In spring, flowers bloom.",0,flower bloom spring spring flower bloom
144,The color of the sky is blue.,Blue is the color of the sky.,0,color sky blue blue color sky
145,Butterflies have colorful wings.,Colorful wings are possessed by butterflies.,0,butterfly colorful wing colorful wing possessed butterfly
146,Winter is the coldest season.,The coldest season is winter.,0,winter coldest season coldest season winter
147,Summer is the warmest season.,The warmest season is summer.,0,summer warmest season warmest season summer
148,Ice melts at 0 degrees Celsius.,"At 0 degrees Celsius, ice melts.",0,ice melt 0 degree celsius 0 degree celsius ice melt
149,Trees produce oxygen.,Oxygen is produced by trees.,0,tree produce oxygen oxygen produced tree
150,Sunflowers turn to face the sun.,The sun is faced by sunflowers.,0,sunflower turn face sun sun faced sunflower
151,Books can be informative.,Informative can be books.,0,book informative informative book
152,The library is a place to read.,A place to read is the library.,0,library place read place read library
153,The ocean is vast.,Vast is the ocean.,0,ocean vast vast ocean
154,Mountains are tall.,Tall are mountains.,0,mountain tall tall mountain
155,Rivers flow to the sea.,"To the sea, rivers flow.",0,river flow sea sea river flow
156,Pineapples are tropical fruits.,Tropical fruits are pineapples.,0,pineapple tropical fruit tropical fruit pineapple
157,Butter is made from milk.,Milk makes butter.,0,butter made milk milk make butter
158,Rainbows appear after rain.,"After rain, rainbows appear.",0,rainbow appear rain rain rainbow appear
159,Leaves change color in autumn.,"In autumn, leaves change color.",0,leaf change color autumn autumn leaf change color
160,Spiders spin webs.,Webs are spun by spiders.,0,spider spin web web spun spider
161,The Statue of Liberty is located in New York Harbor.,New York Harbor is where the Statue of Liberty stands.,1,statue liberty located new york harbor new york harbor statue liberty stand
162,The human body is composed of approximately 60% water.,About 60% of the human body is made up of water.,1,human body composed approximately 60 water 60 human body made water
163,Albert Einstein developed the theory of general relativity.,The theory of general relativity was formulated by Albert Einstein.,1,albert einstein developed theory general relativity theory general relativity formulated albert einstein
164,The Taj Mahal was built by Emperor Shah Jahan.,Emperor Shah Jahan built the Taj Mahal.,1,taj mahal built emperor shah jahan emperor shah jahan built taj mahal
165,The Pacific Ocean is the largest ocean on Earth.,The Earth's largest ocean is the Pacific Ocean.,1,pacific ocean largest ocean earth earth largest ocean pacific ocean
166,Leonardo da Vinci was a famous Italian polymath.,A renowned Italian polymath was Leonardo da Vinci.,1,leonardo da vinci famous italian polymath renowned italian polymath leonardo da vinci
167,The Amazon River flows through South America.,South America is traversed by the Amazon River.,1,amazon river flow south america south america traversed amazon river
168,"Thomas Edison held over 1,000 patents.","Over 1,000 patents were held by Thomas Edison.",1,thomas edison held 1000 patent 1000 patent held thomas edison
169,The Sahara Desert covers much of North Africa.,North Africa is largely covered by the Sahara Desert.,1,sahara desert cover much north africa north africa largely covered sahara desert
170,Jupiter is the largest planet in our solar system.,The solar system's largest planet is Jupiter.,1,jupiter largest planet solar system solar system largest planet jupiter
171,The Great Barrier Reef is the world's largest coral reef system.,The largest coral reef system in the world is the Great Barrier Reef.,1,great barrier reef world largest coral reef system largest coral reef system world great barrier reef
172,"The human heart beats about 100,000 times a day.","About 100,000 beats per day are made by the human heart.",1,human heart beat 100000 time day 100000 beat per day made human heart
173,Bacteria can reproduce rapidly under ideal conditions.,"Under ideal conditions, bacteria can reproduce quickly.",1,bacteria reproduce rapidly ideal condition ideal condition bacteria reproduce quickly
174,Venus is often referred to as Earth's sister planet.,Earth's sister planet is often said to be Venus.,1,venus often referred earth sister planet earth sister planet often said venus
175,The Milky Way is the galaxy that contains our Solar System.,Our Solar System is within the galaxy known as the Milky Way.,1,milky way galaxy contains solar system solar system within galaxy known milky way
176,The Earth's crust is made up of tectonic plates.,Tectonic plates make up the Earth's crust.,1,earth crust made tectonic plate tectonic plate make earth crust
177,The Eiffel Tower was completed in 1889.,1889 saw the completion of the Eiffel Tower.,1,eiffel tower completed 1889 1889 saw completion eiffel tower
178,Photosynthesis occurs in the chloroplasts of plant cells.,Plant cells' chloroplasts are the site of photosynthesis.,1,photosynthesis occurs chloroplast plant cell plant cell chloroplast site photosynthesis
179,The speed of sound is approximately 343 meters per second in air.,"In air, sound travels at about 343 meters per second.",1,speed sound approximately 343 meter per second air air sound travel 343 meter per second
180,Bees play a crucial role in pollinating plants.,Pollinating plants is a crucial role played by bees.,1,bee play crucial role pollinating plant pollinating plant crucial role played bee
181,Mount Everest is located in the Himalayas.,The Himalayas are home to Mount Everest.,1,mount everest located himalaya himalaya home mount everest
182,The moon affects the Earth's tides.,Earth's tides are affected by the moon.,1,moon affect earth tide earth tide affected moon
183,The Amazon rainforest is home to a vast number of species.,A vast number of species live in the Amazon rainforest.,1,amazon rainforest home vast number specie vast number specie live amazon rainforest
184,The Rosetta Stone was key to deciphering Egyptian hieroglyphs.,Deciphering Egyptian hieroglyphs was made possible by the Rosetta Stone.,1,rosetta stone key deciphering egyptian hieroglyph deciphering egyptian hieroglyph made possible rosetta stone
185,The Pacific Ocean covers more than 60 million square miles.,Over 60 million square miles are covered by the Pacific Ocean.,1,pacific ocean cover 60 million square mile 60 million square mile covered pacific ocean
186,Albert Einstein was born in Germany.,Germany is the birthplace of Albert Einstein.,1,albert einstein born germany germany birthplace albert einstein
187,The Sahara Desert is one of the hottest places on Earth.,One of Earth's hottest places is the Sahara Desert.,1,sahara desert one hottest place earth one earth hottest place sahara desert
188,The Earth's atmosphere protects us from harmful solar radiation.,Harmful solar radiation is blocked by the Earth's atmosphere.,1,earth atmosphere protects u harmful solar radiation harmful solar radiation blocked earth atmosphere
189,Venus has a very thick atmosphere composed mostly of carbon dioxide.,"A thick atmosphere, mostly carbon dioxide, covers Venus.",1,venus thick atmosphere composed mostly carbon dioxide thick atmosphere mostly carbon dioxide cover venus
190,The Eiffel Tower was designed by Gustave Eiffel.,Gustave Eiffel designed the Eiffel Tower.,1,eiffel tower designed gustave eiffel gustave eiffel designed eiffel tower
191,Mars has the largest volcano in the solar system.,The largest volcano in the solar system is on Mars.,1,mar largest volcano solar system largest volcano solar system mar
192,The Blue Whale is the largest animal ever known to have lived.,The largest known animal ever to have lived is the Blue Whale.,1,blue whale largest animal ever known lived largest known animal ever lived blue whale
193,The Leaning Tower of Pisa is a freestanding bell tower.,A freestanding bell tower is the Leaning Tower of Pisa.,1,leaning tower pisa freestanding bell tower freestanding bell tower leaning tower pisa
194,Shakespeare's plays are still performed today.,"Today, Shakespeare's plays are still performed.",1,shakespeare play still performed today today shakespeare play still performed
195,The Pacific Ocean is the deepest ocean on Earth.,Earth's deepest ocean is the Pacific Ocean.,1,pacific ocean deepest ocean earth earth deepest ocean pacific ocean
196,Florence Nightingale is known as the founder of modern nursing.,The founder of modern nursing is Florence Nightingale.,1,florence nightingale known founder modern nursing founder modern nursing florence nightingale
197,Electric cars produce zero emissions while driving.,"While driving, electric cars produce zero emissions.",1,electric car produce zero emission driving driving electric car produce zero emission
198,The Statue of Liberty was a gift from France.,France gifted the Statue of Liberty.,1,statue liberty gift france france gifted statue liberty
199,The Amazon River is the second longest river in the world.,The world's second longest river is the Amazon River.,1,amazon river second longest river world world second longest river amazon river
200,Charles Darwin developed the theory of evolution by natural selection.,The theory of evolution by natural selection was developed by Charles Darwin.,1,charles darwin developed theory evolution natural selection theory evolution natural selection developed charles darwin
201,Mercury is the smallest planet in our solar system.,The smallest planet in our solar system is Mercury.,1,mercury smallest planet solar system smallest planet solar system mercury
202,Lightning is a natural electrical discharge.,An electrical discharge occurring naturally is lightning.,1,lightning natural electrical discharge electrical discharge occurring naturally lightning
203,The Leaning Tower of Pisa leans due to unstable foundation.,Unstable foundation causes the Leaning Tower of Pisa to lean.,1,leaning tower pisa lean due unstable foundation unstable foundation cause leaning tower pisa lean
204,DNA is the molecule that carries genetic information.,Genetic information is carried by the molecule known as DNA.,1,dna molecule carry genetic information genetic information carried molecule known dna
205,The human brain has approximately 86 billion neurons.,About 86 billion neurons are in the human brain.,1,human brain approximately 86 billion neuron 86 billion neuron human brain
206,The Amazon Rainforest is often called the 'lungs of the planet'.,The 'lungs of the planet' often refer to the Amazon Rainforest.,1,amazon rainforest often called lung planet lung planet often refer amazon rainforest
207,Venus has a surface temperature hot enough to melt lead.,The surface temperature of Venus is hot enough to melt lead.,1,venus surface temperature hot enough melt lead surface temperature venus hot enough melt lead
208,Thomas Edison invented the phonograph.,The phonograph was invented by Thomas Edison.,1,thomas edison invented phonograph phonograph invented thomas edison
209,Daily exercise promotes good health.,Good health is promoted by daily exercise.,0,daily exercise promotes good health good health promoted daily exercise
210,Effective communication prevents misunderstandings.,Misunderstandings are prevented by effective communication.,0,effective communication prevents misunderstanding misunderstanding prevented effective communication
211,Positive thinking can lead to better outcomes.,Better outcomes are achieved through positive thinking.,0,positive thinking lead better outcome better outcome achieved positive thinking
212,Learning a new language opens up opportunities.,Opportunities are opened up by learning a new language.,0,learning new language open opportunity opportunity opened learning new language
213,Teamwork leads to more efficient problem solving.,Problems are solved more efficiently through teamwork.,0,teamwork lead efficient problem solving problem solved efficiently teamwork
214,Time management is crucial for productivity.,Productivity relies on effective time management.,0,time management crucial productivity productivity relies effective time management
215,Balanced diets contribute to overall wellness.,Overall wellness is enhanced by balanced diets.,0,balanced diet contribute overall wellness overall wellness enhanced balanced diet
216,History helps us understand our present.,Understanding our present is aided by history.,0,history help u understand present understanding present aided history
217,Art can express complex emotions.,Complex emotions are expressed through art.,0,art express complex emotion complex emotion expressed art
218,Sustainable practices protect our environment.,Our environment is protected by sustainable practices.,0,sustainable practice protect environment environment protected sustainable practice
219,Critical thinking is essential in decision making.,Decision making is improved by critical thinking.,0,critical thinking essential decision making decision making improved critical thinking
220,Good habits form the basis of a successful life.,A successful life is built on good habits.,0,good habit form basis successful life successful life built good habit
221,Volunteering builds community connections.,Community connections are strengthened by volunteering.,0,volunteering build community connection community connection strengthened volunteering
222,Meditation can enhance mental clarity.,Mental clarity is improved by meditation.,0,meditation enhance mental clarity mental clarity improved meditation
223,Quality sleep is vital for overall health.,Overall health is supported by quality sleep.,0,quality sleep vital overall health overall health supported quality sleep
224,Education broadens our perspective.,Our perspective is broadened by education.,0,education broadens perspective perspective broadened education
225,Gardening can be a therapeutic activity.,Therapeutic benefits can be found in gardening.,0,gardening therapeutic activity therapeutic benefit found gardening
226,Adventures make life more exciting.,Life becomes more exciting through adventures.,0,adventure make life exciting life becomes exciting adventure
227,Technology is advancing at a rapid pace.,The pace of technological advancement is rapid.,0,technology advancing rapid pace pace technological advancement rapid
228,Networking can lead to career opportunities.,Career opportunities arise through networking.,0,networking lead career opportunity career opportunity arise networking
229,Sharks have existed for over 400 million years.,"For over 400 million years, sharks have existed.",1,shark existed 400 million year 400 million year shark existed
230,Mount Everest is the highest peak in the world.,The world's highest peak is Mount Everest.,1,mount everest highest peak world world highest peak mount everest
231,Bees can recognize human faces.,Human faces can be recognized by bees.,1,bee recognize human face human face recognized bee
232,The Great Wall of China was built over several dynasties.,Several dynasties saw the building of the Great Wall of China.,1,great wall china built several dynasty several dynasty saw building great wall china
233,The human body contains 206 bones.,206 bones are contained in the human body.,1,human body contains 206 bone 206 bone contained human body
234,Albert Einstein's equation E=mc² is famous.,"The equation E=mc², by Albert Einstein, is famous.",1,albert einstein equation emc² famous equation emc² albert einstein famous
235,Saturn's rings are made of ice and rock.,Ice and rock make up Saturn's rings.,1,saturn ring made ice rock ice rock make saturn ring
236,The Milky Way galaxy is spiral-shaped.,A spiral shape describes the Milky Way galaxy.,1,milky way galaxy spiralshaped spiral shape describes milky way galaxy
237,The speed of light is the fastest speed in the universe.,The universe's fastest speed is the speed of light.,1,speed light fastest speed universe universe fastest speed speed light
238,Shakespeare's works are considered literary classics.,Literary classics include Shakespeare's works.,1,shakespeare work considered literary classic literary classic include shakespeare work
239,The Pacific Ocean is larger than all the landmasses combined.,All landmasses combined are smaller than the Pacific Ocean.,1,pacific ocean larger landmass combined landmass combined smaller pacific ocean
240,Mount Everest is part of the Himalaya mountain range.,The Himalaya mountain range includes Mount Everest.,1,mount everest part himalaya mountain range himalaya mountain range includes mount everest
241,"The Great Wall of China is over 13,000 miles long.","Over 13,000 miles long is the Great Wall of China.",1,great wall china 13000 mile long 13000 mile long great wall china
242,The Earth rotates on its axis once every 24 hours.,"Every 24 hours, the Earth rotates on its axis.",1,earth rotates axis every 24 hour every 24 hour earth rotates axis
